iter	Passed	Remaining
0	5	509
1	10	497
2	14	479
3	18	453
4	24	460
5	28	451
6	33	447
7	38	440
8	43	442
9	50	454
10	55	451
11	60	444
12	65	438
13	71	437
14	77	436
15	82	430
16	87	424
17	92	419
18	94	404
19	97	391
20	100	377
21	102	364
22	105	351
23	106	338
24	108	325
25	110	314
26	112	304
27	114	293
28	115	283
29	117	274
30	119	266
31	121	258
32	123	250
33	125	242
34	126	235
35	128	228
36	130	222
37	132	215
38	135	211
39	136	205
40	138	199
41	139	191
42	140	186
43	142	181
44	144	176
45	145	171
46	147	166
47	149	161
48	150	156
49	152	152
50	154	148
51	155	143
52	157	139
53	159	135
54	160	131
55	162	127
56	164	124
57	166	120
58	168	116
59	170	113
60	172	110
61	174	106
62	176	103
63	178	100
64	180	97
65	181	93
66	183	90
67	185	87
68	187	84
69	188	80
70	190	77
71	192	74
72	194	71
73	196	68
74	197	65
75	199	63
76	201	60
77	203	57
78	205	54
79	206	51
80	208	48
81	210	46
82	212	43
83	214	40
84	215	38
85	218	35
86	219	32
87	221	30
88	223	27
89	225	25
90	226	22
91	228	19
92	230	17
93	232	14
94	233	12
95	235	9
96	237	7
97	239	4
98	240	2
99	242	0
