iter	Passed	Remaining
0	2	2378
1	3	1687
2	4	1465
3	7	1908
4	9	1891
5	10	1787
6	14	2055
7	15	1979
8	17	1887
9	18	1826
10	19	1759
11	23	1909
12	24	1879
13	25	1819
14	26	1768
15	29	1834
16	31	1814
17	32	1764
18	33	1716
19	34	1698
20	38	1787
21	39	1754
22	40	1722
23	42	1724
24	45	1789
25	47	1774
26	48	1761
27	49	1733
28	52	1768
29	54	1747
30	55	1722
31	56	1713
32	57	1697
33	59	1688
34	60	1672
35	61	1651
36	62	1630
37	63	1612
38	64	1594
39	66	1586
40	67	1585
41	68	1573
42	70	1562
43	71	1548
44	72	1533
45	73	1530
46	74	1517
47	76	1517
48	77	1505
49	78	1493
50	81	1513
51	82	1512
52	84	1503
53	85	1491
54	86	1480
55	87	1472
56	89	1474
57	90	1469
58	91	1464
59	92	1456
60	94	1447
61	95	1448
62	96	1440
63	97	1432
64	99	1425
65	100	1417
66	101	1412
67	103	1411
68	104	1410
69	105	1404
70	106	1396
71	107	1390
72	108	1382
73	110	1380
74	111	1376
75	112	1372
76	113	1366
77	114	1358
78	116	1352
79	117	1349
80	118	1347
81	120	1343
82	120	1332
83	121	1325
84	122	1318
85	125	1330
86	126	1331
87	128	1331
88	129	1328
89	132	1342
90	134	1339
91	135	1335
92	136	1329
93	137	1323
94	140	1339
95	141	1335
96	142	1330
97	143	1324
98	145	1320
99	147	1327
100	148	1322
101	149	1316
102	150	1310
103	151	1303
104	152	1298
105	154	1303
106	155	1299
107	156	1294
108	158	1298
109	159	1294
110	161	1292
111	162	1289
112	163	1285
113	164	1281
114	165	1277
115	166	1272
116	167	1267
117	169	1266
118	170	1262
119	171	1259
120	173	1263
121	174	1258
122	176	1258
123	177	1257
124	179	1254
125	180	1253
126	181	1249
127	185	1260
128	186	1256
129	187	1251
130	188	1250
131	189	1247
132	193	1258
133	194	1255
134	195	1251
135	197	1252
136	200	1262
137	201	1258
138	203	1260
139	204	1257
140	207	1263
141	208	1261
142	210	1259
143	211	1254
144	212	1250
145	214	1253
146	215	1252
147	217	1249
148	218	1245
149	219	1241
150	220	1237
151	221	1235
152	222	1232
153	223	1229
154	224	1224
155	225	1220
156	226	1216
157	227	1213
158	229	1212
159	230	1209
160	230	1203
161	231	1199
162	232	1196
163	233	1191
164	235	1192
165	236	1189
166	237	1185
167	238	1181
168	239	1177
169	240	1174
170	241	1170
171	242	1167
172	243	1164
173	244	1161
174	245	1157
175	246	1154
176	247	1151
177	248	1147
178	249	1145
179	250	1142
180	251	1139
181	252	1136
182	253	1132
183	254	1129
184	255	1126
185	256	1122
186	257	1120
187	258	1117
188	259	1114
189	260	1111
190	261	1108
191	262	1105
192	263	1103
193	265	1101
194	266	1098
195	267	1095
196	268	1092
197	268	1089
198	269	1086
199	270	1083
200	272	1083
201	273	1080
202	274	1077
203	275	1074
204	276	1071
205	277	1068
206	278	1066
207	279	1064
208	280	1061
209	281	1058
210	282	1056
211	283	1053
212	284	1050
213	285	1047
214	286	1046
215	287	1044
216	288	1042
217	289	1039
218	291	1038
219	291	1035
220	293	1035
221	295	1034
222	296	1031
223	297	1030
224	298	1028
225	299	1026
226	300	1024
227	301	1022
228	303	1020
229	304	1018
230	305	1015
231	306	1013
232	307	1011
233	308	1010
234	309	1008
235	310	1006
236	311	1003
237	312	1000
238	313	998
239	314	996
240	316	996
241	317	994
242	318	992
243	319	989
244	320	987
245	321	985
246	322	983
247	323	981
248	324	979
249	325	977
250	326	975
251	327	972
252	328	970
253	329	968
254	330	966
255	331	964
256	332	962
257	333	960
258	334	958
259	335	955
260	336	953
261	338	952
262	339	950
263	340	948
264	341	946
265	342	944
266	343	942
267	344	940
268	345	938
269	346	936
270	347	934
271	348	932
272	349	930
273	350	927
274	351	926
275	352	924
276	353	922
277	354	920
278	355	918
279	356	916
280	357	915
281	359	914
282	360	912
283	361	910
284	362	908
285	363	906
286	364	904
287	365	903
288	366	901
289	367	899
290	368	897
291	369	895
292	370	894
293	371	892
294	372	890
295	373	888
296	374	887
297	376	885
298	376	883
299	377	881
300	379	880
301	380	879
302	381	877
303	382	876
304	383	874
305	384	872
306	385	870
307	386	869
308	388	867
309	389	866
310	390	864
311	391	862
312	392	861
313	395	863
314	396	862
315	397	860
316	398	858
317	399	857
318	400	854
319	401	853
320	403	853
321	404	852
322	405	850
323	406	848
324	407	847
325	409	847
326	411	846
327	412	844
328	413	842
329	414	840
330	415	839
331	417	839
332	418	838
333	419	836
334	420	835
335	421	833
336	423	834
337	425	832
338	426	831
339	427	829
340	428	828
341	429	826
342	430	825
343	431	823
344	433	822
345	434	821
346	435	819
347	436	817
348	437	815
349	439	815
350	440	814
351	441	812
352	442	811
353	443	809
354	444	808
355	445	806
356	447	805
357	448	803
358	449	802
359	450	800
360	451	798
361	452	797
362	453	796
363	454	794
364	455	792
365	456	790
366	457	789
367	459	788
368	460	787
369	461	785
370	462	784
371	463	782
372	464	780
373	465	779
374	466	777
375	467	776
376	468	774
377	469	773
378	470	771
379	471	769
380	472	768
381	474	766
382	475	765
383	476	764
384	477	762
385	478	761
386	479	759
387	480	758
388	481	756
389	482	755
390	483	753
391	484	752
392	485	750
393	486	748
394	487	747
395	488	745
396	489	744
397	491	742
398	492	741
399	492	739
400	493	737
401	494	736
402	496	734
403	497	733
404	498	731
405	499	730
406	500	728
407	500	726
408	501	725
409	503	724
410	504	722
411	505	721
412	506	719
413	507	718
414	508	716
415	509	714
416	510	713
417	511	712
418	512	710
419	513	709
420	514	707
421	515	706
422	516	704
423	517	703
424	518	701
425	519	700
426	520	698
427	521	697
428	522	695
429	523	694
430	525	693
431	526	692
432	527	690
433	528	689
434	529	687
435	530	686
436	531	685
437	533	683
438	534	682
439	535	681
440	536	679
441	537	677
442	537	676
443	539	675
444	540	674
445	541	672
446	542	671
447	543	670
448	544	668
449	545	667
450	547	665
451	548	664
452	549	663
453	550	661
454	551	660
455	552	658
456	553	657
457	554	656
458	555	654
459	556	653
460	557	651
461	558	650
462	559	648
463	560	647
464	561	646
465	562	644
466	563	643
467	564	641
468	565	640
469	566	638
470	567	637
471	568	636
472	569	634
473	570	633
474	571	631
475	572	630
476	573	628
477	574	627
478	575	625
479	576	624
480	577	623
481	578	621
482	579	620
483	580	618
484	581	617
485	582	616
486	583	614
487	584	613
488	585	611
489	586	610
490	587	608
491	588	607
492	589	606
493	590	605
494	591	603
495	592	602
496	593	600
497	594	599
498	595	598
499	597	597
500	598	595
501	599	594
502	600	592
503	601	591
504	601	590
505	603	588
506	604	587
507	605	586
508	606	584
509	607	583
510	608	582
511	609	580
512	610	579
513	611	577
514	612	576
515	613	575
516	614	573
517	615	572
518	616	571
519	617	569
520	618	568
521	619	567
522	620	565
523	621	564
524	622	563
525	623	561
526	624	560
527	625	559
528	627	558
529	628	557
530	629	555
531	630	554
532	631	553
533	632	551
534	633	550
535	634	549
536	635	547
537	636	546
538	637	545
539	638	543
540	639	542
541	640	541
542	641	540
543	642	538
544	643	537
545	644	536
546	645	534
547	646	533
548	647	532
549	648	530
550	649	529
551	651	528
552	651	527
553	652	525
554	653	524
555	655	523
556	656	521
557	657	520
558	657	519
559	658	517
560	659	516
561	660	515
562	662	513
563	663	512
564	664	511
565	665	510
566	666	508
567	667	507
568	668	506
569	669	504
570	670	503
571	671	502
572	672	501
573	673	500
574	674	498
575	675	497
576	677	496
577	678	495
578	679	494
579	680	492
580	681	491
581	682	489
582	683	488
583	684	487
584	685	486
585	686	485
586	687	483
587	688	482
588	689	481
589	690	479
590	692	479
591	693	478
592	694	476
593	695	475
594	696	474
595	697	472
596	699	472
597	700	471
598	701	469
599	702	468
600	703	467
601	704	465
602	705	464
603	706	463
604	707	462
605	708	460
606	709	459
607	710	458
608	711	456
609	712	455
610	713	454
611	714	453
612	715	451
613	716	450
614	717	449
615	718	447
616	719	446
617	720	445
618	721	444
619	722	442
620	723	441
621	724	440
622	725	439
623	726	437
624	727	436
625	728	435
626	729	434
627	730	432
628	731	431
629	732	430
630	733	429
631	734	427
632	736	426
633	737	425
634	738	424
635	739	423
636	740	421
637	741	420
638	742	419
639	743	418
640	744	416
641	745	415
642	746	414
643	747	412
644	748	411
645	749	410
646	750	409
647	751	408
648	752	406
649	753	405
650	754	404
651	755	403
652	756	401
653	757	400
654	758	399
655	759	398
656	760	396
657	761	395
658	762	394
659	763	393
660	764	391
661	765	390
662	766	389
663	767	388
664	768	386
665	769	385
666	770	384
667	771	383
668	772	382
669	773	380
670	774	379
671	775	378
672	775	377
673	776	375
674	777	374
675	778	373
676	780	372
677	781	371
678	782	369
679	783	368
680	784	367
681	784	366
682	786	364
683	787	363
684	788	362
685	789	361
686	790	360
687	791	358
688	792	357
689	793	356
690	794	355
691	795	354
692	799	354
693	801	353
694	803	352
695	805	351
696	807	350
697	808	349
698	809	348
699	811	347
700	813	346
701	814	345
702	816	344
703	817	343
704	818	342
705	820	341
706	821	340
707	822	339
708	824	338
709	825	337
710	826	335
711	827	334
712	829	333
713	831	333
714	832	331
715	833	330
716	836	330
717	838	329
718	839	328
719	840	326
720	841	325
721	843	324
722	844	323
723	845	322
724	846	321
725	847	319
726	848	318
727	850	317
728	851	316
729	852	315
730	854	314
731	855	313
732	856	311
733	857	310
734	859	309
735	860	308
736	861	307
737	862	306
738	863	305
739	865	304
740	866	302
741	867	301
742	868	300
743	869	299
744	870	298
745	872	297
746	873	295
747	874	294
748	875	293
749	876	292
750	878	291
751	879	290
752	880	288
753	881	287
754	883	286
755	884	285
756	885	284
757	886	283
758	887	281
759	888	280
760	889	279
761	891	278
762	892	277
763	893	276
764	894	274
765	896	273
766	897	272
767	898	271
768	899	270
769	900	268
770	901	267
771	902	266
772	903	265
773	904	264
774	905	262
775	908	262
776	909	261
777	910	259
778	912	258
779	913	257
780	916	256
781	917	255
782	918	254
783	919	253
784	920	252
785	924	251
786	926	250
787	927	249
788	928	248
789	932	247
790	933	246
791	934	245
792	935	244
793	936	242
794	938	241
795	939	240
796	941	239
797	942	238
798	943	237
799	945	236
800	946	235
801	947	233
802	948	232
803	954	232
804	955	231
805	956	230
806	957	228
807	960	228
808	961	227
809	962	225
810	963	224
811	966	223
812	968	222
813	969	221
814	970	220
815	971	219
816	978	219
817	981	218
818	983	217
819	984	216
820	986	215
821	987	213
822	990	212
823	991	211
824	992	210
825	994	209
826	995	208
827	996	207
828	997	205
829	999	204
830	1000	203
831	1001	202
832	1002	201
833	1003	199
834	1005	198
835	1006	197
836	1007	196
837	1008	195
